rank,neighbourhood,nb_number,energy_burden_index,priority_tier,income_score,renter_score,consumption_score,age_score,est_kwh,renter_pct,dominant_type
138,Forest Hill South,101.0,0.46654280574685336,Moderate,0.2798,0.5374,0.5257,0.6855853716456897,10212.0,0.5143,Apt high-rise
139,Lawrence Park South,103.0,0.4595552730942768,Moderate,0.1518,0.2919,0.8324,0.835668487295179,12767.0,0.3155,Single detached
140,Casa Loma,96.0,0.45791688435051053,Moderate,0.3145,0.5952,0.3965,0.666112562336737,9135.0,0.5611,Apt high-rise
141,Lawrence Park North,105.0,0.4470074566611255,Moderate,0.141,0.2087,0.8915,0.8173830444075038,13260.0,0.2482,Single detached
142,Downtown Yonge East,168.0,0.44457820826407024,Moderate,0.6356,0.6919,0.0662,0.21728805509380172,6383.0,0.6394,Apt high-rise
143,Yonge-St. Clair,97.0,0.4438544763714081,Moderate,0.2625,0.6482,0.3411,0.697696509142721,8673.0,0.604,Apt high-rise
144,Yonge-Doris,151.0,0.44233208264070295,Moderate,0.8265,0.4505,0.058,0.1728805509380194,6314.0,0.4439,Apt high-rise
145,South Eglinton-Davisville,174.0,0.4420182118261695,Moderate,0.4794,0.7612,0.1388,0.32818807884113005,6988.0,0.6955,Apt high-rise
146,Bayview Village,52.0,0.44039943006411775,Moderate,0.679,0.4019,0.2555,0.25599620042745164,7960.0,0.4046,Apt high-rise
147,Yonge-Bay Corridor,170.0,0.4396693505105675,Moderate,0.6616,0.7386,0.0263,0.1125623367371168,6050.0,0.6772,Apt high-rise
148,Etobicoke City Centre,159.0,0.4143731762051769,Moderate,0.6182,0.52,0.1405,0.21918784136784622,7002.0,0.5002,Apt high-rise
149,Rosedale-Moore Park,98.0,0.386096243172643,Moderate,0.1518,0.4263,0.4831,0.7041082878176205,9857.0,0.4243,Apt high-rise
150,Avondale,153.0,0.3665567383044408,Moderate,0.6095,0.4275,0.1139,0.11921158869627171,6780.0,0.4253,Apt high-rise
151,Kingsway South,15.0,0.3531620042745191,Moderate,0.0,0.1335,0.8393,0.733080028496794,12825.0,0.1873,Single detached
152,St Lawrence-East Bayfront-The Islands,166.0,0.32409495131797667,Moderate,0.3579,0.6466,0.0581,0.1510330087865112,6315.0,0.6027,Apt high-rise
153,Humber Bay Shores,161.0,0.31368501543576344,Moderate,0.462,0.4688,0.0508,0.14723343623842278,6254.0,0.4587,Apt high-rise
154,Harbourfront-CityPlace,165.0,0.28702749584421755,Moderate,0.3406,0.6433,0.0056,0.03728330562811694,5878.0,0.6,Apt high-rise
155,West Queen West,162.0,0.27111045951080504,Moderate,0.1952,0.4644,0.1631,0.3061030634053669,7190.0,0.4552,Apt high-rise
156,Bridle Path-Sunnybrook-York Mills,41.0,0.25805868439800517,Moderate,0.0542,0.0445,0.6873,0.3742578959867014,11558.0,0.1152,Single detached
157,Fort York-Liberty Village,163.0,0.22285144621230107,Moderate,0.2169,0.5618,0.0107,0.02540964141534061,5920.0,0.534,Apt high-rise
158,Wellington Place,164.0,0.22261999999999998,Moderate,0.1627,0.6627,0.0,0.0,5831.0,0.6157,Apt high-rise
