neighbourhood,nb_number,est_kwh,base_kwh,age_factor,consumption_score,renter_pct,renter_score,income_score,dominant_type
Lansing-Westgate,38.0,9536.0,7831.0,1.2178,0.4446,0.434,0.4382,0.6356,Apt high-rise
University,79.0,9517.0,6937.0,1.372,0.4423,0.6111,0.657,0.679,Apt low-rise
Banbury-Don Mills,42.0,9431.0,7548.0,1.2495,0.432,0.4024,0.3992,0.6095,Apt high-rise
Oakridge,121.0,9413.0,7152.0,1.3161,0.4299,0.6924,0.7574,0.9783,Apt high-rise
Clanton Park,33.0,9412.0,7802.0,1.2063,0.4297,0.4549,0.4641,0.705,Apt high-rise
Englemount-Lawrence,32.0,9396.0,7472.0,1.2575,0.4278,0.5674,0.603,0.8091,Apt high-rise
Agincourt South-Malvern West,128.0,9379.0,7849.0,1.195,0.4258,0.3037,0.2773,0.9219,Apt high-rise
Victoria Village,43.0,9361.0,7175.0,1.3046,0.4236,0.5883,0.6288,0.8785,Apt high-rise
Mount Dennis,115.0,9356.0,7251.0,1.2903,0.423,0.5252,0.5509,0.8612,Apt high-rise
Broadview North,57.0,9355.0,7002.0,1.3362,0.4229,0.691,0.7557,0.7744,Apt high-rise
Woburn North,142.0,9271.0,7335.0,1.264,0.4128,0.4611,0.4717,0.9132,Apt high-rise
Humbermede,22.0,9212.0,7268.0,1.2674,0.4057,0.541,0.5704,0.9132,Apt high-rise
Weston,113.0,9189.0,7078.0,1.2983,0.403,0.6452,0.6991,0.8612,Apt high-rise
Don Valley Village,47.0,9187.0,7286.0,1.261,0.4027,0.4934,0.5116,0.8612,Apt high-rise
Junction-Wallace Emerson,171.0,9166.0,7191.0,1.2747,0.4002,0.4988,0.5183,0.7223,Apt low-rise
Casa Loma,96.0,9135.0,6961.0,1.3122,0.3965,0.5611,0.5952,0.3145,Apt high-rise
Black Creek,24.0,9089.0,6958.0,1.3063,0.391,0.6736,0.7342,0.9783,Apt high-rise
Eglinton East,138.0,9002.0,7026.0,1.2812,0.3805,0.5354,0.5635,0.8959,Apt high-rise
Bendale-Glen Andrew,156.0,9000.0,7389.0,1.218,0.3803,0.3945,0.3895,0.8785,Apt high-rise
Etobicoke West Mall,13.0,8973.0,6980.0,1.2856,0.3771,0.4397,0.4453,0.7657,Apt high-rise
High Park North,88.0,8957.0,6766.0,1.3239,0.3751,0.6658,0.7246,0.5662,Apt high-rise
Mount Olive-Silverstone-Jamestown,2.0,8874.0,7051.0,1.2586,0.3652,0.54,0.5692,0.974,Apt high-rise
York University Heights,27.0,8812.0,7109.0,1.2396,0.3577,0.5348,0.5627,0.9132,Apt high-rise
Scarborough Village,139.0,8804.0,6906.0,1.2748,0.3568,0.55,0.5815,0.9132,Apt high-rise
Cabbagetown-South St. James Town,71.0,8751.0,6598.0,1.3263,0.3504,0.5492,0.5805,0.6009,Apt high-rise
Yonge-St. Clair,97.0,8673.0,6543.0,1.3255,0.3411,0.604,0.6482,0.2625,Apt high-rise
Fenside-Parkwoods,150.0,8612.0,6635.0,1.2979,0.3337,0.6644,0.7228,0.8351,Apt high-rise
Willowdale West,37.0,8598.0,7293.0,1.1789,0.3321,0.4046,0.4019,0.8004,Apt high-rise
Taylor Massey,61.0,8538.0,6462.0,1.3213,0.3249,0.6631,0.7212,0.9132,Apt high-rise
Annex,95.0,8417.0,6513.0,1.2923,0.3103,0.5914,0.6327,0.4967,Apt high-rise
Little Portugal,84.0,8267.0,6655.0,1.2423,0.2923,0.5722,0.6089,0.6182,Apt high-rise
Westminster-Branson,35.0,8098.0,6453.0,1.2551,0.2721,0.6022,0.646,0.8872,Apt high-rise
South Parkdale,85.0,8082.0,6187.0,1.3063,0.2701,0.8489,0.9507,0.8525,Apt high-rise
Bayview Village,52.0,7960.0,6985.0,1.1395,0.2555,0.4046,0.4019,0.679,Apt high-rise
Kensington-Chinatown,78.0,7751.0,6271.0,1.236,0.2304,0.6843,0.7474,0.9132,Apt high-rise
Flemingdon Park,44.0,7498.0,5950.0,1.2602,0.2,0.5656,0.6008,0.9566,Apt high-rise
Thorncliffe Park,55.0,7229.0,5699.0,1.2686,0.1678,0.8592,0.9634,0.9783,Apt high-rise
West Queen West,162.0,7190.0,6196.0,1.1606,0.1631,0.4552,0.4644,0.1952,Apt high-rise
North St. James Town,74.0,7190.0,5709.0,1.2594,0.1631,0.8888,1.0,0.8872,Apt high-rise
Moss Park,73.0,7035.0,6044.0,1.164,0.1445,0.6494,0.7043,0.6876,Apt high-rise
Etobicoke City Centre,159.0,7002.0,6229.0,1.124,0.1405,0.5002,0.52,0.6182,Apt high-rise
South Eglinton-Davisville,174.0,6988.0,5973.0,1.1699,0.1388,0.6955,0.7612,0.4794,Apt high-rise
Henry Farm,53.0,6809.0,6081.0,1.1197,0.1174,0.6081,0.6533,0.7831,Apt high-rise
Regent Park,72.0,6795.0,6035.0,1.126,0.1157,0.7054,0.7735,0.8959,Apt high-rise
Avondale,153.0,6780.0,6267.0,1.0819,0.1139,0.4253,0.4275,0.6095,Apt high-rise
Church-Wellesley,167.0,6702.0,5703.0,1.1753,0.1045,0.7573,0.8376,0.6876,Apt high-rise
North Toronto,173.0,6669.0,5741.0,1.1617,0.1006,0.8144,0.9081,0.6182,Apt high-rise
Downtown Yonge East,168.0,6383.0,5683.0,1.1232,0.0662,0.6394,0.6919,0.6356,Apt high-rise
St Lawrence-East Bayfront-The Islands,166.0,6315.0,5765.0,1.0953,0.0581,0.6027,0.6466,0.3579,Apt high-rise
Yonge-Doris,151.0,6314.0,5717.0,1.1045,0.058,0.4439,0.4505,0.8265,Apt high-rise
Humber Bay Shores,161.0,6254.0,5718.0,1.0937,0.0508,0.4587,0.4688,0.462,Apt high-rise
Bay-Cloverhill,169.0,6203.0,5630.0,1.1018,0.0446,0.6972,0.7633,0.757,Apt high-rise
Yonge-Bay Corridor,170.0,6050.0,5606.0,1.0791,0.0263,0.6772,0.7386,0.6616,Apt high-rise
Fort York-Liberty Village,163.0,5920.0,5679.0,1.0424,0.0107,0.534,0.5618,0.2169,Apt high-rise
Harbourfront-CityPlace,165.0,5878.0,5612.0,1.0474,0.0056,0.6,0.6433,0.3406,Apt high-rise
Wellington Place,164.0,5831.0,5652.0,1.0317,0.0,0.6157,0.6627,0.1627,Apt high-rise
